Datum,Wochentag,Feiertag,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
2012-01-01,Sonntag,Neujahr,8.0,9.825,14.0,58.0
2012-04-06,Freitag,Karfreitag,7.0,6.2,18.0,61.0
2012-04-09,Montag,Ostermontag,8.0,6.5125,10.0,58.0
2012-05-01,Dienstag,Tag der Arbeit,5.0,13.4125,19.0,
2012-05-17,Donnerstag,Christi Himmelfahrt,4.0,10.8125,18.0,3.0
2012-05-28,Montag,Pfingstmontag,2.0,22.8375,14.0,
2012-10-03,Mittwoch,Tag der Deutschen Einheit,7.0,14.175,12.0,65.0
2012-12-25,Dienstag,1. Weihnachtstag,,,,
2012-12-26,Mittwoch,2. Weihnachtstag,,,,
2013-01-01,Dienstag,Neujahr,,,,
2013-03-29,Freitag,Karfreitag,,,,
2013-04-01,Montag,Ostermontag,,,,
2013-05-01,Mittwoch,Tag der Arbeit,0.0,9.9,11.0,
2013-05-09,Donnerstag,Christi Himmelfahrt,7.0,16.125,11.0,21.0
2013-05-20,Montag,Pfingstmontag,7.0,15.775,8.0,21.0
2013-10-03,Donnerstag,Tag der Deutschen Einheit,0.0,11.7625,12.0,5.0
2013-12-25,Mittwoch,1. Weihnachtstag,6.0,8.5625,13.0,21.0
2013-12-26,Donnerstag,2. Weihnachtstag,6.0,3.775,6.0,28.0
2014-01-01,Mittwoch,Neujahr,5.0,4.5125,8.0,63.0
2014-04-18,Freitag,Karfreitag,7.0,8.2375,11.0,61.0
2014-04-21,Montag,Ostermontag,4.0,13.425,15.0,0.0
2014-05-01,Donnerstag,Tag der Arbeit,4.0,10.4875,14.0,
2014-05-29,Donnerstag,Christi Himmelfahrt,4.0,12.7,14.0,
2014-06-09,Montag,Pfingstmontag,0.0,20.6625,10.0,
2014-10-03,Freitag,Tag der Deutschen Einheit,3.0,20.0,6.0,10.0
2014-12-25,Donnerstag,1. Weihnachtstag,7.0,3.125,17.0,71.0
2014-12-26,Freitag,2. Weihnachtstag,6.0,0.0,6.0,22.0
2015-01-01,Donnerstag,Neujahr,8.0,4.125,13.0,10.0
2015-04-03,Freitag,Karfreitag,5.0,7.375,14.0,
2015-04-06,Montag,Ostermontag,0.0,7.75,10.0,
2015-05-01,Freitag,Tag der Arbeit,6.0,10.0,6.0,21.0
2015-05-14,Donnerstag,Christi Himmelfahrt,7.0,11.25,10.0,20.0
2015-05-25,Montag,Pfingstmontag,7.0,11.75,10.0,61.0
2015-10-03,Samstag,Tag der Deutschen Einheit,2.0,14.375,9.0,0.0
2015-12-25,Freitag,1. Weihnachtstag,2.0,7.875,14.0,0.0
2015-12-26,Samstag,2. Weihnachtstag,7.0,12.75,18.0,63.0
2016-01-01,Freitag,Neujahr,7.0,4.5,6.0,28.0
2016-03-25,Freitag,Karfreitag,8.0,7.875,7.0,61.0
2016-03-28,Montag,Ostermontag,6.0,11.625,18.0,61.0
2016-05-01,Sonntag,Tag der Arbeit,0.0,10.75,9.0,
2016-05-05,Donnerstag,Christi Himmelfahrt,0.0,15.125,13.0,
2016-05-16,Montag,Pfingstmontag,5.0,11.25,16.0,
2016-10-03,Montag,Tag der Deutschen Einheit,7.0,14.375,18.0,61.0
2016-12-25,Sonntag,1. Weihnachtstag,7.0,9.375,16.0,61.0
2016-12-26,Montag,2. Weihnachtstag,4.0,6.875,25.0,22.0
2017-01-01,Sonntag,Neujahr,8.0,5.5,12.0,61.0
2017-04-14,Freitag,Karfreitag,7.0,9.25,12.0,63.0
2017-04-17,Montag,Ostermontag,6.0,6.25,10.0,61.0
2017-05-01,Montag,Tag der Arbeit,1.0,11.75,19.0,5.0
2017-05-25,Donnerstag,Christi Himmelfahrt,2.0,18.875,12.0,
2017-06-05,Montag,Pfingstmontag,1.0,20.125,9.0,0.0
2017-10-03,Dienstag,Tag der Deutschen Einheit,5.0,14.2625,14.0,61.0
2017-12-25,Montag,1. Weihnachtstag,7.0,8.7,14.0,61.0
2017-12-26,Dienstag,2. Weihnachtstag,7.0,6.25,14.0,61.0
2018-01-01,Montag,Neujahr,6.0,6.6125,17.0,61.0
2018-03-30,Freitag,Karfreitag,1.0,3.225,13.0,5.0
2018-04-02,Montag,Ostermontag,5.0,6.1,8.0,5.0
2018-05-01,Dienstag,Tag der Arbeit,7.0,6.9875,13.0,63.0
2018-05-10,Donnerstag,Christi Himmelfahrt,5.0,20.525,9.0,95.0
2018-05-21,Montag,Pfingstmontag,0.0,18.5125,16.0,5.0
2018-10-03,Mittwoch,Tag der Deutschen Einheit,4.0,12.2875,18.0,21.0
2018-10-31,Mittwoch,Reformationstag,5.0,9.9,10.0,0.0
2018-12-25,Dienstag,1. Weihnachtstag,7.0,6.3625,16.0,
2018-12-26,Mittwoch,2. Weihnachtstag,7.0,7.9125,12.0,0.0
2019-01-01,Dienstag,Neujahr,6.0,6.2875,26.0,21.0
2019-04-19,Freitag,Karfreitag,0.0,14.1,12.0,5.0
2019-04-22,Montag,Ostermontag,0.0,15.775,16.0,5.0
2019-05-01,Mittwoch,Tag der Arbeit,7.0,9.2625,15.0,20.0
2019-05-30,Donnerstag,Christi Himmelfahrt,7.0,14.0125,9.0,61.0
2019-06-10,Montag,Pfingstmontag,7.0,16.125,14.0,61.0
